0,1536
1,2466
2,2925
3,2559
4,1923
5,1598
6,1302
7,1063
8,1008
9,783
10,698
11,597
12,539
13,475
14,370
15,367
16,321
17,332
18,313
19,283
20,253
21,257
22,278
23,176
24,222
25,199
26,205
27,188
28,189
29,183
30,187
31,183
32,219
33,244
34,275
35,337
36,426
37,542
38,584
39,660
40,1001
41,1140
42,1663
43,1692
44,1877
45,1964
46,1744
47,1755
48,1689
49,1800
50,1864
51,2055
52,2130
53,2032
54,1791
55,1752
56,1503
57,1254
58,1256
59,1087
60,1060
61,998
62,945
63,831
64,725
65,674
66,549
67,487
68,482
69,431
70,427
71,337
72,318
73,307
74,274
75,261
76,257
77,236
78,226
79,235
80,246
81,215
82,198
83,186
84,199
85,179
86,174
87,169
88,170
89,162
90,156
91,162
92,155
93,161
94,136
95,152
96,172
97,174
98,185
99,178
100,192
101,234
102,268
103,291
104,325
105,382
106,444
107,431
108,486
109,561
110,614
111,599
112,634
113,915
114,612
115,869
116,983
117,1326
118,880
119,1253
120,1363
121,1452
122,1442
123,1612
124,1667
125,1827
126,2281
127,1781
128,2175
129,2271
130,2352
131,2420
132,2588
133,2596
134,2620
135,2664
136,2703
137,2878
138,2900
139,3091
140,3381
141,3568
142,3846
143,4218
144,4948
145,5837
146,7377
147,9617
148,12620
149,16423
150,20911
151,26166
152,31834
153,34959
154,35388
155,34299
156,34566
157,36191
158,38492
159,41232
160,44448
161,49098
162,56170
163,63698
164,69875
165,74686
166,76842
167,77701
168,78947
169,79454
170,82150
171,85373
172,87194
173,86942
174,88981
175,92263
176,98065
177,98188
178,92584
179,85267
180,77807
181,71499
182,65986
183,66586
184,49384
185,51833
186,50210
187,50179
188,48200
189,43569
190,39825
191,36464
192,35219
193,34759
194,33657
195,31498
196,29259
197,26461
198,22190
199,17113
200,13798
201,11614
202,9287
203,7584
204,6459
205,3425
206,2853
207,1940
208,1294
209,849
210,558
211,386
212,253
213,186
214,130
215,78
216,57
217,56
218,41
219,50
220,30
221,37
222,36
223,31
224,35
225,34
226,21
227,40
228,34
229,30
230,23
231,24
232,29
233,32
234,34
235,44
236,34
237,32
238,33
239,30
240,44
241,43
242,34
243,37
244,34
245,40
246,19
247,13
248,4
249,1
250,0
251,0
252,0
253,0
254,0
255,0
